episode,side,start_s,end_s,air_s,peak_mm,supported_fraction,next_ground_s
5,right,1.66,1.68,0.02,0.02151225833735412,1.0,0.16
5,right,1.84,1.94,0.1,1.5933651772091,1.0,0.06
5,right,2.0,2.02,0.02,0.07826013547718993,1.0,1.5
5,right,3.52,3.56,0.04,0.5927347713802,1.0,0.2
5,right,3.76,3.82,0.06,3.6699934722179,1.0,1.16
5,right,4.98,5.0200000000000005,0.04,0.19263827617770002,1.0,0.26
5,right,5.28,5.34,0.06,0.2485315091867,1.0,1.24
5,right,6.58,6.640000000000001,0.06,0.4270571537565,1.0,0.14
5,right,6.78,6.86,0.08,2.5813000964961996,1.0,0.18
5,right,7.04,7.0600000000000005,0.02,-0.30539285605809996,1.0,1.02
5,right,8.08,8.120000000000001,0.04,0.8346392053518,1.0,0.18
5,right,8.3,8.4,0.1,4.6364277106843,1.0,1.32
5,right,9.72,9.86,0.14,6.2416706451581,1.0,0.06
5,right,9.92,9.94,0.02,0.932493006244,1.0,0.14
5,right,10.08,10.12,0.04,2.0728599928518,1.0,1.24
5,right,11.36,11.46,0.1,0.9411842675311,1.0,0.16
5,right,11.62,11.7,0.08,2.2007464843844997,1.0,0.32
6,left,1.18,1.2,0.02,-0.06441331227535199,1.0,1.32
6,left,2.52,2.64,0.12,2.1650749504286,1.0,0.12
6,left,2.76,2.78,0.02,-0.1085964011184,1.0,0.02
6,left,2.8000000000000003,2.82,0.02,-0.06762324866956514,1.0,0.12
6,left,2.94,3.06,0.12,3.5117038516587,1.0,0.1
6,left,3.16,3.18,0.02,-0.04391621065033069,1.0,1.04
6,left,4.22,4.3,0.08,0.8135694114972,1.0,0.08
6,left,4.38,4.5,0.12,0.7819320222576,1.0,0.08
6,left,4.58,4.64,0.06,1.9915397423284003,1.0,0.04
6,left,4.68,4.7,0.02,-0.05316203788920376,1.0,0.92
6,left,5.62,5.64,0.02,0.14040211829340002,1.0,0.02
6,left,5.66,5.68,0.02,0.520531925945,1.0,0.1
6,left,5.78,5.92,0.14,1.0546525225566001,1.0,0.04
6,left,5.96,6.1000000000000005,0.14,3.5638773431610002,1.0,1.1400000000000001
6,left,7.24,7.28,0.04,0.2172692858469,1.0,0.12
6,left,7.4,7.52,0.12,0.8932044677984,1.0,0.08
6,left,7.6,7.86,0.26,4.6689661034023,1.0,1.06
6,left,8.92,8.94,0.02,0.1595186340876,1.0,0.34
6,left,9.28,9.34,0.06,2.6736405047629,1.0,1.42
6,left,10.76,10.78,0.02,0.014108319383616431,1.0,0.08
6,left,10.86,11.08,0.22,1.8538939965312,1.0,0.9400000000000001
6,right,1.82,1.9,0.08,0.1492341325843,1.0,0.02
6,right,1.92,1.94,0.02,0.05064498093162138,1.0,0.22
6,right,2.16,2.18,0.02,0.07187251603956411,1.0,1.08
6,right,3.26,3.3200000000000003,0.06,0.9744461415215,1.0,0.14
6,right,3.46,3.58,0.12,2.640412862113,1.0,1.4000000000000001
6,right,4.98,5.1000000000000005,0.12,4.462896025447,1.0,0.1
6,right,5.2,5.28,0.08,1.0645700631321,1.0,0.16
6,right,5.44,5.48,0.04,0.1303865096624,1.0,1.0
6,right,6.48,6.5,0.02,0.04157656517146061,1.0,0.12
6,right,6.62,6.72,0.1,1.4194831286161,1.0,0.2
6,right,6.92,6.98,0.06,0.9784133987607001,1.0,1.18
6,right,8.16,8.32,0.16,3.5765888043957,1.0,0.16
6,right,8.48,8.56,0.08,1.309777888608,1.0,1.36
6,right,9.92,9.98,0.06,0.8089603306146,1.0,0.16
6,right,10.14,10.18,0.04,0.08727237603206074,1.0,1.18
6,right,11.36,11.44,0.08,1.3522257334399,1.0,0.58
7,left,0.96,0.98,0.02,-0.07833417019763311,1.0,0.02
7,left,1.0,1.02,0.02,-0.05914738293209213,1.0,0.04
7,left,1.06,1.44,0.38,7.814576162353201,1.0,1.3
7,left,2.74,2.76,0.02,0.0355046433236075,1.0,0.06
7,left,2.82,2.94,0.12,1.061358684293,1.0,0.08
7,left,3.02,3.04,0.02,0.08358986881252216,1.0,0.96
7,left,4.0,4.04,0.04,0.2281612405376,1.0,0.1
7,left,4.14,4.26,0.12,1.7137617269097,1.0,0.08
7,left,4.34,4.54,0.2,5.1714874860165,1.0,1.06
7,left,5.6000000000000005,5.62,0.02,0.08194985689935225,1.0,0.14
7,left,5.76,5.8,0.04,0.058648327872376074,1.0,0.08
7,left,5.88,5.9,0.02,0.06959024592662977,1.0,0.02
7,left,5.92,5.94,0.02,0.03460529789916806,1.0,0.02
7,left,5.96,6.0,0.04,0.46147518954879996,1.0,0.08
7,left,6.08,6.1000000000000005,0.02,-0.07940942229610749,1.0,1.1
7,left,7.2,7.24,0.04,0.216562036925,1.0,0.16
7,left,7.4,7.56,0.16,1.6917337800221,1.0,0.08
7,left,7.640000000000001,7.9,0.26,1.7327884753140002,1.0,0.9
7,left,8.8,8.86,0.06,0.5375476953450999,1.0,0.08
7,left,8.94,9.14,0.2,2.6608302210634003,1.0,0.06
7,left,9.2,9.48,0.28,4.7559127975586,1.0,0.9
7,left,10.38,10.4,0.02,-0.1262187400554,1.0,0.18
7,left,10.58,10.62,0.04,0.524485790485,1.0,0.12
7,left,10.74,10.84,0.1,0.30078757542620005,1.0,0.06
7,left,10.9,10.94,0.04,0.7775248672421999,1.0,1.08
7,right,1.68,1.78,0.1,2.120982760038,1.0,0.12
7,right,1.9,2.0,0.1,1.1312025831716999,1.0,0.16
7,right,2.16,2.24,0.08,2.2965361069066,1.0,1.18
7,right,3.42,3.48,0.06,0.1329835155467,1.0,0.12
7,right,3.6,3.72,0.12,2.3587996696296,1.0,0.14
7,right,3.86,3.88,0.02,0.1185384557856,1.0,1.06
7,right,4.94,5.0,0.06,0.6365881277391999,1.0,0.2
7,right,5.2,5.28,0.08,1.2645918926647,1.0,0.16
7,right,5.44,5.46,0.02,0.1180751830346,1.0,1.3
7,right,6.76,6.88,0.12,2.451052401145,1.0,1.3
7,right,8.18,8.28,0.1,5.518307123709399,1.0,0.02
7,right,8.3,8.32,0.02,-0.4058317424724,1.0,0.04
7,right,8.36,8.48,0.12,2.1357538486625,1.0,1.42
7,right,9.9,10.02,0.12,1.5461646115796,1.0,1.3800000000000001
7,right,11.4,11.48,0.08,1.5202541364515,1.0,0.54
8,left,2.48,2.56,0.08,0.4843180944201,1.0,0.06
8,left,2.62,2.68,0.06,0.04726307125463812,1.0,0.08
8,left,2.76,2.88,0.12,2.3935367502089,1.0,0.04
8,left,2.92,2.94,0.02,-0.06901706065085608,1.0,0.02
8,left,2.96,2.98,0.02,-0.07458069331666828,1.0,0.04
8,left,3.02,3.04,0.02,0.2994648609847,1.0,1.42
8,left,4.46,4.5,0.04,0.006284393581650408,1.0,1.26
8,left,5.76,5.78,0.02,0.018201892495729902,1.0,0.1
8,left,5.88,6.0,0.12,3.3449083554821,1.0,1.26
8,left,7.26,7.34,0.08,1.2341022613091999,1.0,0.1
8,left,7.44,7.54,0.1,0.8275836745715001,1.0,0.16
8,left,7.7,7.84,0.14,1.2145176505770001,1.0,0.98
8,left,8.82,8.84,0.02,0.38212672834899997,1.0,0.1
8,left,8.94,9.06,0.12,0.9684182798659,1.0,0.08
8,left,9.14,9.28,0.14,2.1524778225444,1.0,0.02
8,left,9.3,9.32,0.02,0.002767577470108931,1.0,0.04
8,left,9.36,9.4,0.04,1.2183013948134,1.0,1.16
8,left,10.56,10.62,0.06,0.05185405216741844,1.0,0.02
8,left,10.64,10.66,0.02,0.05275146938025144,1.0,0.08
8,left,10.74,10.8,0.06,0.31877234613640004,1.0,0.02
8,left,10.82,10.86,0.04,-0.04692097281467343,1.0,0.02
8,left,10.88,10.9,0.02,-0.06553641576521191,1.0,0.02
8,left,10.92,10.94,0.02,0.008117436188757616,1.0,1.08
8,right,1.78,1.96,0.18,2.8239043365652,1.0,0.12
8,right,2.08,2.18,0.1,1.0532910917465999,1.0,1.16
8,right,3.34,3.56,0.22,3.8979135256834,1.0,0.26
8,right,3.82,3.84,0.02,0.10686761790320001,1.0,0.02
8,right,3.86,3.92,0.06,0.4018993076657,1.0,1.02
8,right,4.94,5.0,0.06,0.2039135831817,1.0,0.02
8,right,5.0200000000000005,5.04,0.02,-0.004158527055013114,1.0,0.16
8,right,5.2,5.28,0.08,1.0057129643682001,1.0,1.28
8,right,6.5600000000000005,6.66,0.1,1.461219520462,1.0,0.18
8,right,6.84,6.94,0.1,4.2047216865219,1.0,1.2
8,right,8.14,8.16,0.02,0.014564795405473152,1.0,0.02
8,right,8.18,8.26,0.08,2.058265198674,1.0,0.2
8,right,8.46,8.52,0.06,1.2840434084328,1.0,1.2
8,right,9.72,9.82,0.1,2.6592264267109,1.0,1.56
8,right,11.38,11.42,0.04,0.6237827682963,1.0,0.22
8,right,11.64,11.72,0.08,0.8515198308484,1.0,0.3
9,left,1.06,1.46,0.4,2.4133769060416,1.0,0.08
9,left,1.54,1.56,0.02,0.010985829880327466,1.0,0.88
9,left,2.44,2.62,0.18,0.9071034658419,1.0,0.02
9,left,2.64,2.76,0.12,0.411744586679,1.0,0.02
9,left,2.78,3.12,0.34,3.1489620940333003,1.0,0.86
9,left,3.98,4.0,0.02,0.001166113984652807,1.0,0.1
9,left,4.1,4.16,0.06,1.0704623647614,1.0,0.12
9,left,4.28,4.3,0.02,-0.06178605680585676,1.0,0.2
9,left,4.5,4.54,0.04,0.6667407309254001,1.0,1.1
9,left,5.64,5.7,0.06,0.1795100769848,1.0,0.1
9,left,5.8,5.94,0.14,1.2840983995828,1.0,0.08
9,left,6.0200000000000005,6.0600000000000005,0.04,0.9514253730359,1.0,0.34
9,right,1.76,1.78,0.02,0.1053340134303,1.0,0.06
9,right,1.84,1.86,0.02,0.1344823983462,1.0,0.02
9,right,1.88,1.9,0.02,0.0011992744426373575,1.0,0.02
9,right,1.92,2.0,0.08,1.1150247243557,1.0,1.4000000000000001
9,right,3.4,3.64,0.24,7.4776576470846,1.0,0.14
